time,daily_return,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",Fear_Greed_Classification,high,volume,UEMP15T26,UEMP27OV,PERMITW,TB3SMFFM,Fear_Greed_Value
2021-02-10,-0.0354284976768197,-5.753905766795189,-5.735944027548218,-5.478938155397527,0.0031703738420659,0.0032278337655931,0.0041737592294606,Extreme Greed,47383.0,10019.14961979,1399,4118,432.0,-0.04,92.0
2021-02-11,0.0706273276688744,-5.763985683642006,-5.717536619221755,-5.522618399703195,0.0031385772600391,0.0032878000383591,0.003995372751131,Extreme Greed,48598.0,10300.37521835,1399,4118,432.0,-0.04,93.0
2021-02-12,-0.0127270454924178,-5.8478283902695205,-5.658547495289724,-5.54980657920754,0.002886159970683,0.0034875789458439,0.0038882092312595,Extreme Greed,48945.0,10789.29878402,1399,4118,432.0,-0.04,92.0
2021-02-13,-0.0046416439859062,-6.5763112847475815,-5.679121264276839,-5.565521030027375,0.0013929781292872,0.0034165593774636,0.0038275857385106,Extreme Greed,48209.0,5225.25062786,1399,4118,432.0,-0.04,92.0
2021-02-14,0.0298238548445217,-6.759950354517433,-5.729378121559383,-5.6077891131829,0.0011592867258249,0.0032490971489429,0.0036691725219993,Extreme Greed,49659.0,7337.59067269,1399,4118,432.0,-0.04,95.0
2021-02-15,-0.0139552115922937,-6.053513542440441,-5.906687061275672,-5.621588225618181,0.0023495920951116,0.0027211870966925,0.0036188889301877,Extreme Greed,48959.0,9883.3531079,1399,4118,432.0,-0.04,93.0
2021-02-16,0.0270738529620506,-5.940462378075355,-6.036594560058714,-5.630592434727221,0.0026308129395209,0.0023896829946475,0.0035864499603195,Extreme Greed,50490.0,13040.83159243,1399,4118,432.0,-0.04,95.0
2021-02-17,0.0592037070910309,-6.380479330014873,-6.128973292082723,-5.641271804715655,0.0016943106280135,0.0021788168212115,0.0035483527235701,Extreme Greed,52577.0,9211.03215371,1399,4118,432.0,-0.04,95.0
2021-02-18,-0.0105533809194873,-7.001088761868049,-6.286869302136743,-5.656050413023015,0.0009108896835197,0.0018605757388515,0.0034962985996989,Extreme Greed,52539.0,5869.73416942,1399,4118,432.0,-0.04,91.0
2021-02-19,0.0833882790986308,-6.3979036437952255,-6.385318948760422,-5.674921953758915,0.0016650441426563,0.001686130620562,0.0034309367375644,Extreme Greed,56342.0,11805.88360583,1399,4118,432.0,-0.04,93.0
2021-02-20,-0.001593097769663,-6.083997894055215,-6.312931272332018,-5.7292004280109525,0.002279047026883,0.0018127118916471,0.0032496745438427,Extreme Greed,57485.0,11637.99217592,1399,4118,432.0,-0.04,91.0
2021-02-21,0.0286677304265199,-6.673971989303892,-6.3047620294081375,-5.784094223741845,0.0012633706770736,0.0018275810275398,0.0030760953685424,Extreme Greed,58321.24403166,6687.40294944,1399,4118,432.0,-0.04,91.0
2021-02-22,-0.0575327663134411,-4.836226727932291,-5.942379407401509,-5.731399654044789,0.0079369458773141,0.0026257744249973,0.0032425356279066,Extreme Greed,57449.0,27309.72539386,1399,4118,432.0,-0.04,94.0
2021-02-23,-0.0961812297734627,-4.062367718190929,-5.358436421570955,-5.585595710332483,0.0172082266106461,0.0047082620923009,0.0037515142881627,Extreme Greed,54138.0,32599.17021217,1399,4118,432.0,-0.04,94.0
2021-02-24,0.017227973973892,-5.286441226653486,-5.261207155742845,-5.56888122939731,0.005059734706243,0.0051890369606194,0.0038147458716611,Extreme Greed,51354.46137096,12002.72597091,1399,4118,432.0,-0.04,76.0
2021-02-25,-0.051371791777295,-5.516635811984047,-5.179094958330511,-5.568530381525,0.0040193470617876,0.0056331023003719,0.0038160845019477,Extreme Greed,52189.0,9556.04333353,1399,4118,432.0,-0.04,79.0
2021-02-26,-0.0178957635384419,-4.841921774670197,-5.03247465281284,-5.5459210942845605,0.0078918730672889,0.0065226492896052,0.003903346197789,Greed,48441.0,22325.37321813,1399,4118,432.0,-0.04,55.0
2021-02-27,-0.0017271902931905,-5.838713196092806,-5.018694407136128,-5.548680161924289,0.0029125881452265,0.0066131551636542,0.0038925914449757,Greed,48407.0,7603.9662875,1399,4118,432.0,-0.04,56.0
2021-02-28,-0.0202863445650763,-5.402818711337708,-4.951034724534191,-5.6397450187767,0.0045038679302752,0.007076083342683,0.0035537744364592,Greed,46703.0,13547.51881422,1399,4118,432.0,-0.04,55.0
2021-03-01,0.0944812362030904,-6.074322407041875,-5.071823036290383,-5.658457785406649,0.0023012049382269,0.006270977494242,0.0034878918301776,Fear,49743.0,9420.85602057,1386,4174,424.0,-0.04,38.0
2021-03-02,-0.0210568777732956,-6.105436956469282,-5.489155465166675,-5.659865191763116,0.0022307064354722,0.0041313317549315,0.0034829864018203,Extreme Greed,50148.0,8374.91331046,1386,4174,424.0,-0.04,78.0
2021-03-03,0.0385693093786054,-6.239776111577713,-5.6029080752991005,-5.668293914098492,0.0019502921217947,0.0036871256714389,0.0034537526511967,Extreme Greed,52567.0,8603.3335126,1386,4174,424.0,-0.04,78.0
2021-03-04,-0.0400730042850341,-5.646422676953297,-5.6220449526943,-5.653086852015168,0.0035301226028542,0.0036172364630198,0.0035066754625391,Extreme Greed,51777.0,9558.92312432,1386,4174,424.0,-0.04,84.0
2021-03-05,0.0091344961560717,-5.966464364821879,-5.85832971098095,-5.644824149485177,0.0025632882685628,0.0028560100632018,0.0035357701134485,Extreme Greed,49489.0,9417.0854656,1386,4174,424.0,-0.04,77.0
2021-03-06,0.000614376407946,-6.729476698493597,-5.948151093193676,-5.6592925119198245,0.0011951582226242,0.0026106629314015,0.0034849816091801,Extreme Greed,49238.0,4206.13760617,1386,4174,424.0,-0.04,77.0
2021-03-07,0.0437986082685222,-6.642477050720321,-6.140656457506233,-5.661053170594789,0.0013037936775677,0.002153509466729,0.0034788511444894,Extreme Greed,51442.0,5376.35475911,1386,4174,424.0,-0.04,76.0
2021-03-08,0.0274313725490196,-6.479252515627228,-6.192824316120576,-5.664461989228665,0.00153495760744,0.0020440455623308,0.0034670125611391,Extreme Greed,52444.0,6154.5042241,1386,4174,424.0,-0.04,81.0
2021-03-09,0.0487854322990897,-6.684715425178079,-6.263837142459547,-5.674915903276044,0.0012498703848328,0.0019039261265252,0.0034309574964512,Extreme Greed,54955.30786704,8210.93786056,1386,4174,424.0,-0.04,81.0
2021-03-10,0.0187369004546613,-6.197549588302,-6.257545391212993,-5.714659696655581,0.0020344096747228,0.0019159429198006,0.0032972724035798,Greed,57444.0,10678.77471493,1386,4174,424.0,-0.04,68.0
2021-03-11,0.0337947664553004,-6.1551539355342815,-6.368426161442786,-5.743674228199722,0.0021225142298066,0.0017148560093653,0.0032029781561122,Greed,58266.0,8659.751263,1386,4174,424.0,-0.04,73.0
2021-03-12,-0.0100212519653748,-6.262148176984668,-6.424637278635467,-5.756907810940523,0.0019071445091231,0.0016211211865882,0.0031608705116807,Greed,58159.0,9562.35931509,1386,4174,424.0,-0.04,70.0
2021-03-13,0.0681691364992931,-6.432987692520837,-6.388933373705731,-5.773184230363919,0.0016076405166417,0.0016800472285907,0.0031098392869008,Greed,61693.0,13700.24118389,1386,4174,424.0,-0.04,74.0
2021-03-14,-0.0359931879274926,-6.8495992873389255,-6.409891824799795,-5.792953648310621,0.0010598803152877,0.0016452024625507,0.0030489632983876,Extreme Greed,61699.0,6681.68651262,1386,4174,424.0,-0.04,78.0
2021-03-15,-0.056135593220339,-5.732179364777256,-6.271823555612154,-5.772961836433395,0.0032400083734689,0.0018887811434119,0.0031105309731937,Extreme Greed,60575.0,14784.6861763,1386,4174,424.0,-0.04,76.0
2021-03-16,0.0221950869127998,-5.956097976091266,-6.175277766590023,-5.757746268641223,0.0025899985163951,0.0020802280193494,0.0031582213662127,Greed,56925.0,10496.58810374,1386,4174,424.0,-0.04,71.0
2021-03-17,0.0338170191834727,-6.279470032223244,-6.186327494140532,-5.762774352599793,0.0018743936993039,0.0020573685942896,0.0031423814196858,Greed,59128.0,11269.30169215,1386,4174,424.0,-0.04,71.0
2021-03-18,-0.0205441044027936,-6.533289075210581,-6.23384327954447,-5.775333852717314,0.0014542149529432,0.0019618972690234,0.0031031614867999,Greed,60190.0,7238.68855771,1386,4174,424.0,-0.04,72.0
2021-03-19,0.0071066616807771,-6.585089821034077,-6.272923000922414,-5.778707147619546,0.0013808033368467,0.0018867056729839,0.003092711243761,Greed,59480.0,6485.05192059,1386,4174,424.0,-0.04,71.0
2021-03-20,0.0005059812050902,-6.90597148004332,-6.319882539601975,-5.777727950565219,0.0010017853908545,0.0018001549407286,0.0030957411006721,Greed,60000.0,6775.70608413,1386,4174,424.0,-0.04,75.0
2021-03-21,-0.0122763821691145,-6.512102593167017,-6.2866752611002505,-5.779664641997302,0.0014853533436682,0.0018609368019258,0.0030897514073725,Greed,58584.0,8292.32536363,1386,4174,424.0,-0.04,73.0
2021-03-22,-0.0574556357424258,-6.365031807258054,-6.410689375913561,-5.785706647014539,0.001720686728201,0.0016438908526018,0.0030711393974165,Greed,58525.0,8727.81396301,1386,4174,424.0,-0.04,70.0
2021-03-23,0.004934341196227,-6.367895451834849,-6.489702698622292,-5.780808479964077,0.0017157663414653,0.0015190005418975,0.0030862192528962,Greed,55822.3340788,6569.9505292,1386,4174,424.0,-0.04,66.0
2021-03-24,-0.0369694173160913,-5.998668023245758,-6.434127322805167,-5.841532034379256,0.0024820560167758,0.0016058094443935,0.0029043895908782,Greed,57212.0,14085.86185319,1386,4174,424.0,-0.04,65.0
2021-03-25,-0.0185369209600978,-5.870634396157763,-6.319370837248104,-6.021998751251667,0.0028210830819429,0.0018010763199649,0.0024248181399215,Greed,53116.0,11590.1867204,1386,4174,424.0,-0.04,60.0
2021-03-26,0.0707776782584992,-6.747257615262066,-6.335902350142159,-6.076893111638776,0.0011740950301227,0.0017715465618615,0.0022952968173841,Neutral,55000.0,7713.45878203,1386,4174,424.0,-0.04,54.0
2021-03-27,0.0162384303456804,-6.925245455855586,-6.337445655646738,-6.121995199250768,0.0009826618884297,0.0017688146329437,0.0021940739782722,Greed,56655.0,5176.81537774,1386,4174,424.0,-0.04,65.0
2021-03-28,-0.0018967183194359,-7.1810457714920615,-6.397739627590468,-6.236662553028827,0.0007608717279844,0.0016653172592745,0.0019563739336287,Greed,56609.0,4212.6325115,1386,4174,424.0,-0.04,74.0
2021-03-29,0.0339727500896378,-6.825177911201334,-6.453716194722933,-6.268277677770806,0.0010860826979967,0.0015746595406739,0.001895490418721,Greed,58492.0,10118.10970035,1386,4174,424.0,-0.04,72.0
2021-03-30,0.0201993931512787,-7.291820471807645,-6.5522873164527855,-6.337869896593064,0.0006810870237446,0.001426848209571,0.0017680643885034,Greed,59523.0,7874.44357216,1386,4174,424.0,-0.04,72.0
2021-03-31,-0.0007477906186267,-6.446390638219244,-6.646257477391282,-6.351440860872464,0.0015862371525634,0.0012988740861121,0.0017442321289812,Extreme Greed,59899.0,8119.05244424,1386,4174,424.0,-0.04,76.0
2021-04-01,-0.0012245731002108,-7.108681009078069,-6.895119913780734,-6.378810196319083,0.0008179731800875,0.0010127155287041,0.0016971410204684,Greed,59483.0,4349.96920683,1256,4053,418.0,-0.05,74.0
2021-04-02,0.004001770996526,-7.403702430502135,-6.978191922498303,-6.405507695290193,0.0006089938246204,0.000931986785061,0.0016524310772293,Greed,60190.0,6153.04582372,1256,4053,418.0,-0.05,74.0
2021-04-03,-0.0328872606387489,-7.222560072963545,-7.017701378990417,-6.463652083367463,0.0007299313473549,0.0008958824220503,0.0015590913687126,Greed,59841.0,6634.11944692,1256,4053,418.0,-0.05,73.0
2021-04-04,0.0214001961894072,-7.413389986915185,-7.0431777854021895,-6.506463858826902,0.0006031226471873,0.0008733468390793,0.0014937525146668,Greed,58480.0,4971.94717113,1256,4053,418.0,-0.05,74.0
2021-04-05,0.0155349776359829,-7.48176559658782,-7.132577520806526,-6.520665087918609,0.0005632620435763,0.0007986581741621,0.0014726893086985,Greed,59250.0,5595.18998949,1256,4053,418.0,-0.05,71.0
2021-04-06,-0.0195113703609772,-7.283707953075216,-7.131585669101941,-6.5347325483226255,0.0006866348278893,0.0007994507176113,0.0014521173470426,Greed,59499.0,5616.68975216,1256,4053,418.0,-0.05,75.0
