date,daily_return,"ln_RV_d,t","ln_RV_w,t","ln_RV_m,t","RV_d,t","RV_w,t","RV_m,t",high,volume,UEMP15T26,UEMP27OV,PERMITW,TB3SMFFM,Fear_Greed_Value,target,Filtered_State,Regime,Regime_Prob
2021-07-12,-0.0340497605419927,-7.309703078352056,-7.049340592018377,-6.181716899488769,0.0006690156678182,0.0008679811223211,0.0020668761879149,34655.0,8408.60405576,1134,3508,422.0,-0.05,25.0,-7.358553696793648,1,Low Volatility,0.9997783197633575
2021-07-13,-0.0105205877017957,-7.358553696793648,-7.179506070942909,-6.200865674975627,0.000637119261129,0.0007620441449557,0.0020276745691804,33337.0,4024.86829598,1134,3508,422.0,-0.05,20.0,-6.843311711720237,1,Low Volatility,0.9998646626030241
2021-07-14,0.0028305274029942,-6.843311711720237,-7.128432876001023,-6.213290873111048,0.0010665653873411,0.000801975197809,0.0020026361864668,33128.0,5192.51154704,1134,3508,422.0,-0.05,21.0,-6.928743000743146,1,Low Volatility,0.9998760654551201
2021-07-15,-0.0284146269786887,-6.928743000743146,-7.197459542865947,-6.223251449713568,0.0009792309877277,0.0007484848888646,0.0019827877901619,33200.0,6956.82713686,1134,3508,422.0,-0.05,20.0,-7.026894313375879,1,Low Volatility,0.9997010861917974
2021-07-16,-0.0144873000940733,-7.026894313375879,-7.183956820130281,-6.251598366023874,0.0008876843735231,0.0007586600141419,0.0019273710285493,32271.0,5381.86055053,1134,3508,422.0,-0.05,22.0,-7.390257145103019,1,Low Volatility,0.9969055148815745
2021-07-17,0.0042000763650247,-7.390257145103019,-7.172502520775098,-6.262257128775185,0.0006172372135739,0.0007673998920853,0.001906936733633,32000.0,13706.6477802,1134,3508,422.0,-0.05,15.0,-7.629250269805746,1,Low Volatility,0.9605970361638922
2021-07-18,0.0082382762991128,-7.629250269805746,-7.177900968825907,-6.283367970247126,0.000486025109478,0.0007632682857987,0.0018671016500426,32453.0,12411.32229435,1134,3508,422.0,-0.05,19.0,-7.413164153392945,1,Low Volatility,0.957681292917374
2021-07-19,-0.0300125707102451,-7.413164153392945,-7.190284706158671,-6.301716363410852,0.0006032588678801,0.0007538744572361,0.0018331557139398,31928.0,12799.72672555,1134,3508,422.0,-0.05,24.0,-6.831983282753776,1,Low Volatility,0.9699568124617773
2021-07-20,-0.0342135104487283,-6.831983282753776,-7.109920680229344,-6.322609923354086,0.0010787165946641,0.0008169597905983,0.0017952519166454,31079.0,8878.01430299,1134,3508,422.0,-0.05,19.0,-6.286839906892158,1,Low Volatility,0.9976615074437097
2021-07-21,0.0786675165218557,-6.286839906892158,-6.979898478169849,-6.433208927405659,0.0018606304317343,0.000930397654083,0.0016072848898172,32850.0,8258.16378035,1134,3508,422.0,-0.05,10.0,-7.176326256079866,1,Low Volatility,0.9998255922550477
2021-07-22,0.0051626547241401,-7.176326256079866,-7.013429534042512,-6.580266474174208,0.0007644711609398,0.0008997176788276,0.0013874795181113,32610.0,5232.65508671,1134,3508,422.0,-0.05,21.0,-7.499699379250378,1,Low Volatility,0.9999336806786885
2021-07-23,0.0411509900990099,-7.499699379250378,-7.067992772255004,-6.665786120286702,0.0005532506637801,0.0008519414345786,0.0012737549079473,33650.0,3969.34091098,1134,3508,422.0,-0.05,23.0,-7.549462514522549,1,Low Volatility,0.9999418916262295
2021-07-24,0.0186924219910846,-7.549462514522549,-7.083343133865135,-6.705751192423192,0.0005263929796766,0.000838963686879,0.0012238530094486,34527.0,2363.25627786,1134,3508,422.0,-0.05,22.0,-7.200275107978374,1,Low Volatility,0.9999242972724062
2021-07-25,0.0331398232153796,-7.200275107978374,-7.039964909830671,-6.778178412322582,0.0007463804449141,0.000876157306227,0.0011383466090011,35444.0,2780.99539445,1134,3508,422.0,-0.05,27.0,-4.883432057187685,1,Low Volatility,0.999883698015453
2021-07-26,0.0523789354793167,-4.883432057187685,-6.280990023625647,-6.681427328427437,0.0075709853325136,0.0018715468011747,0.0012539868435323,40595.0,16314.03215706,1134,3508,422.0,-0.05,26.0,-6.163020000102253,1,Low Volatility,0.9994923481988106
2021-07-27,0.059833646364368,-6.163020000102253,-6.205507144962731,-6.691637384935135,0.0021058838892449,0.0020182849861148,0.0012412487062082,39589.0,6065.62663319,1134,3508,422.0,-0.05,32.0,-5.969922623449496,1,Low Volatility,0.9998046365119119
2021-07-28,0.0130886075949367,-5.969922623449496,-6.157566119480822,-6.671319647803668,0.0025544390650296,0.002117400505157,0.001266726015335,40900.0,7979.49858787,1134,3508,422.0,-0.05,50.0,-6.752583694404603,1,Low Volatility,0.9998460169676712
